celsius_temperature,specific_heat_capacity
120.54,0.5140
120.67,0.5140
120.79,0.5140
120.91,0.5141
121.04,0.5142
121.17,0.5143
121.29,0.5143
121.41,0.5144
121.54,0.5143
121.66,0.5143
121.79,0.5143
121.92,0.5144
122.05,0.5143
122.17,0.5143
122.29,0.5144
122.42,0.5145
122.54,0.5146
122.67,0.5145
122.79,0.5145
122.92,0.5146
123.04,0.5147
123.16,0.5148
123.29,0.5148
123.42,0.5148
123.54,0.5150
123.67,0.5150
123.79,0.5150
123.92,0.5149
124.03,0.5151
124.16,0.5151
124.28,0.5151
124.40,0.5152
124.53,0.5152
124.65,0.5153
124.78,0.5153
124.90,0.5153
125.02,0.5153
125.14,0.5154
125.26,0.5154
125.39,0.5154
125.51,0.5154
125.64,0.5153
125.77,0.5152
125.89,0.5153
126.01,0.5154
126.13,0.5155
126.26,0.5155
126.38,0.5154
126.50,0.5153
126.63,0.5154
126.76,0.5154
126.89,0.5153
127.01,0.5153
127.13,0.5153
127.26,0.5153
127.38,0.5154
127.50,0.5155
127.63,0.5156
127.75,0.5155
127.88,0.5156
128.01,0.5157
128.13,0.5157
128.26,0.5157
128.38,0.5157
128.51,0.5158
128.63,0.5159
128.75,0.5159
128.88,0.5159
129.01,0.5158
129.13,0.5159
129.25,0.5160
129.38,0.5161
129.51,0.5161
129.63,0.5161
129.76,0.5161
129.88,0.5161
130.01,0.5162
130.14,0.5163
130.26,0.5162
130.39,0.5163
130.51,0.5163
130.64,0.5162
130.77,0.5163
130.89,0.5164
131.02,0.5165
131.15,0.5165
131.27,0.5166
131.40,0.5167
131.53,0.5168
131.66,0.5168
131.78,0.5168
131.91,0.5167
132.03,0.5167
132.16,0.5167
132.29,0.5167
132.42,0.5166
132.54,0.5167
132.67,0.5167
132.79,0.5168
132.93,0.5169
133.05,0.5169
133.18,0.5169
133.31,0.5170
133.44,0.5170
133.57,0.5170
133.69,0.5170
133.81,0.5171
133.94,0.5172
134.07,0.5172
134.20,0.5171
134.33,0.5171
134.46,0.5172
134.58,0.5173
134.71,0.5173
134.83,0.5174
134.96,0.5175
135.09,0.5175
135.22,0.5175
135.35,0.5176
135.48,0.5176
135.61,0.5176
135.74,0.5176
135.86,0.5178
135.99,0.5178
136.12,0.5178
136.25,0.5180
136.38,0.5180
136.50,0.5181
136.63,0.5180
136.76,0.5181
136.88,0.5182
137.02,0.5183
137.14,0.5184
137.27,0.5184
137.40,0.5185
137.53,0.5185
137.66,0.5186
137.79,0.5186
137.91,0.5186
138.05,0.5187
138.18,0.5188
138.31,0.5189
138.44,0.5190
138.56,0.5189
138.69,0.5191
138.82,0.5193
138.94,0.5192
139.07,0.5193
139.19,0.5193
139.32,0.5192
139.44,0.5188
139.58,0.5188
139.70,0.5188
139.83,0.5188
139.96,0.5189
140.09,0.5191
140.20,0.5192
140.33,0.5194
140.46,0.5196
140.59,0.5196
140.72,0.5196
140.85,0.5198
140.97,0.5198
141.09,0.5198
141.22,0.5198
141.36,0.5198
141.48,0.5199
141.61,0.5200
141.74,0.5200
141.87,0.5201
141.99,0.5199
142.12,0.5200
142.24,0.5202
142.37,0.5202
142.50,0.5203
142.63,0.5203
142.76,0.5204
142.89,0.5205
143.02,0.5205
143.14,0.5205
143.27,0.5206
143.40,0.5206
143.53,0.5206
143.65,0.5207
143.79,0.5208
143.91,0.5208
144.04,0.5208
144.17,0.5208
144.30,0.5209
